               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.046488,            0.037043,            0.012276,             0.66218,             0.71833,             0.71536,             0.36437,             0.03913,            0.019914,            0.017155,            0.005149,            0.005149,            0.005149
                  51,            0.040705,            0.036675,            0.011272,             0.52394,             0.57127,             0.56993,             0.27771,            0.045452,            0.020505,            0.016198,             0.00505,             0.00505,             0.00505
                  52,            0.047625,            0.036373,            0.010855,             0.68822,             0.67239,             0.75295,             0.34682,            0.039598,              0.0211,            0.016683,            0.004951,            0.004951,            0.004951
                  53,            0.046807,            0.039023,             0.01097,             0.59844,              0.6991,              0.6441,              0.2918,            0.043901,             0.02072,            0.018632,            0.004852,            0.004852,            0.004852
                  54,            0.044603,            0.044042,             0.01217,              0.6816,             0.67582,             0.73775,             0.39262,            0.036467,            0.022055,            0.016359,            0.004753,            0.004753,            0.004753
                  55,            0.040541,            0.035974,            0.012269,             0.49453,             0.59616,             0.52055,             0.24867,            0.045912,            0.023584,             0.01583,            0.004654,            0.004654,            0.004654
                  56,            0.048894,            0.037809,            0.010501,             0.50888,             0.77602,             0.60046,              0.2682,            0.043891,            0.022555,            0.015529,            0.004555,            0.004555,            0.004555
                  57,            0.043824,            0.036601,            0.010522,             0.55102,             0.79213,              0.6786,             0.35374,            0.038411,            0.021951,             0.01626,            0.004456,            0.004456,            0.004456
                  58,            0.041397,            0.038461,            0.010414,             0.60799,             0.73768,             0.70817,             0.37683,            0.037396,            0.022058,            0.017538,            0.004357,            0.004357,            0.004357
                  59,            0.036073,            0.034798,            0.010276,             0.57399,             0.79525,             0.66512,             0.34771,            0.039698,            0.020757,            0.018045,            0.004258,            0.004258,            0.004258
                  60,            0.042165,            0.038312,           0.0094317,             0.71603,              0.6991,             0.70677,             0.35689,            0.038002,            0.020535,            0.018886,            0.004159,            0.004159,            0.004159
                  61,            0.041459,            0.034407,           0.0096963,             0.56312,             0.78165,             0.65432,             0.36211,            0.037976,            0.020095,            0.018985,             0.00406,             0.00406,             0.00406
                  62,            0.039813,            0.031494,            0.011344,             0.69545,              0.7171,             0.75603,             0.37387,            0.037933,            0.020631,            0.017347,            0.003961,            0.003961,            0.003961
                  63,            0.039051,            0.032406,            0.011254,             0.59649,             0.77713,             0.66214,             0.32947,            0.040507,            0.019692,            0.018926,            0.003862,            0.003862,            0.003862
                  64,            0.044571,            0.034758,           0.0096539,             0.65597,              0.7605,             0.71486,              0.3892,             0.03602,            0.019927,            0.019893,            0.003763,            0.003763,            0.003763
                  65,            0.038661,            0.039936,           0.0082937,             0.69638,             0.71984,              0.7406,             0.40643,            0.036347,            0.020263,            0.021148,            0.003664,            0.003664,            0.003664
                  66,            0.041026,            0.032277,             0.00897,             0.65245,              0.6945,             0.70273,             0.34144,            0.039519,            0.020548,             0.02176,            0.003565,            0.003565,            0.003565
                  67,            0.037738,             0.04366,           0.0095747,             0.70495,             0.67986,             0.71451,             0.36728,            0.038049,            0.020812,            0.021823,            0.003466,            0.003466,            0.003466
                  68,            0.040446,             0.04063,           0.0081396,             0.67618,             0.72851,              0.7359,             0.41404,            0.035842,            0.020648,            0.019003,            0.003367,            0.003367,            0.003367
                  69,            0.036219,            0.031074,           0.0078368,             0.61434,              0.7697,             0.71024,             0.36606,            0.037239,            0.021086,             0.01743,            0.003268,            0.003268,            0.003268
                  70,            0.038032,            0.026825,           0.0093576,             0.62293,              0.7862,             0.70954,             0.35787,            0.039517,            0.020869,            0.018113,            0.003169,            0.003169,            0.003169
                  71,            0.039033,            0.036489,           0.0068375,             0.70457,             0.65273,             0.72466,             0.39606,            0.037971,            0.020284,            0.016059,             0.00307,             0.00307,             0.00307
                  72,            0.040921,            0.037438,           0.0091962,             0.73674,             0.73634,              0.7673,             0.42488,            0.035716,            0.020579,            0.014923,            0.002971,            0.002971,            0.002971
                  73,            0.037021,            0.033113,           0.0086968,             0.67295,             0.68783,             0.71968,             0.40447,            0.035372,            0.020619,            0.017887,            0.002872,            0.002872,            0.002872
                  74,            0.037474,            0.035865,           0.0078805,             0.64111,             0.73756,             0.72069,             0.41155,            0.035437,            0.020798,            0.017606,            0.002773,            0.002773,            0.002773
                  75,            0.035948,            0.033173,           0.0092985,             0.71282,             0.69191,             0.74196,             0.39324,            0.035938,            0.020845,             0.01641,            0.002674,            0.002674,            0.002674
                  76,            0.037975,            0.037842,            0.006268,             0.65439,             0.69537,              0.7336,             0.43155,            0.034504,            0.020452,             0.01778,            0.002575,            0.002575,            0.002575
                  77,            0.037267,            0.036626,           0.0081971,             0.64757,             0.71728,             0.73168,             0.40518,            0.035154,            0.020403,            0.020015,            0.002476,            0.002476,            0.002476
                  78,            0.036755,            0.030915,           0.0065438,             0.61584,              0.6991,              0.6996,             0.40139,            0.034482,            0.020128,            0.021086,            0.002377,            0.002377,            0.002377
                  79,            0.036631,             0.03367,             0.01128,             0.72003,             0.66833,              0.7254,             0.42245,            0.035081,            0.020461,            0.018028,            0.002278,            0.002278,            0.002278
                  80,            0.034556,            0.031899,           0.0055228,             0.78584,             0.67834,             0.76362,             0.39753,             0.03608,            0.020896,            0.015143,            0.002179,            0.002179,            0.002179
                  81,            0.036224,            0.035001,           0.0059993,             0.68759,             0.69079,             0.76313,             0.42833,            0.034855,            0.020671,            0.015339,             0.00208,             0.00208,             0.00208
                  82,            0.034068,            0.032323,           0.0061702,              0.6713,             0.69334,             0.74625,             0.42966,            0.034702,            0.020617,            0.015708,            0.001981,            0.001981,            0.001981
                  83,            0.035976,            0.029468,           0.0075887,             0.62398,             0.84394,             0.72562,             0.41128,            0.034972,             0.02014,             0.01728,            0.001882,            0.001882,            0.001882
                  84,            0.036055,             0.02989,           0.0065707,             0.68469,             0.71833,             0.72284,             0.42128,            0.035627,            0.020169,            0.018257,            0.001783,            0.001783,            0.001783
                  85,            0.035781,            0.030826,           0.0058767,             0.64976,             0.75859,               0.741,             0.44347,            0.034853,            0.020208,            0.017861,            0.001684,            0.001684,            0.001684
